Year,GEO,VALUE
2015,Newfoundland and Labrador,0.757076775
2015,Prince Edward Island,1.382781603
2015,Nova Scotia,3.413628271
2015,New Brunswick,2.239122475
2015,Quebec,3.302452144
2015,Ontario,4.580834329
2015,Manitoba,2.319113047
2015,Saskatchewan,1.425758102
2015,Alberta,4.650437683
2015,British Columbia,3.441421962
2015,Canada,3.814645426
2016,Newfoundland and Labrador,0.377653488
2016,Prince Edward Island,2.042330708
2016,Nova Scotia,2.226973098
2016,New Brunswick,2.358113614
2016,Quebec,3.975666489
2016,Ontario,4.410334018
2016,Manitoba,2.739434155
2016,Saskatchewan,2.553949992
2016,Alberta,3.313131178
2016,British Columbia,4.340430451
2016,Canada,3.901879446
2017,Newfoundland and Labrador,0.377542275
2017,Prince Edward Island,0.667824229
2017,Nova Scotia,2.205513995
2017,New Brunswick,2.869451687
2017,Quebec,5.896658705
2017,Ontario,7.266399635
2017,Manitoba,2.697166626
2017,Saskatchewan,1.743200429
2017,Alberta,4.531176619
2017,British Columbia,5.16800893
2017,Canada,5.672446971
2018,Newfoundland and Labrador,0.378499703
2018,Prince Edward Island,1.313551251
2018,Nova Scotia,3.326154383
2018,New Brunswick,1.94679538
2018,Quebec,4.518924696
2018,Ontario,5.632821298
2018,Manitoba,3.104931148
2018,Saskatchewan,2.594684357
2018,Alberta,5.707555126
2018,British Columbia,5.158356568
2018,Canada,4.90119123
2019,Newfoundland and Labrador,1.137132493
2019,Prince Edward Island,5.135051864
2019,Nova Scotia,3.279363885
2019,New Brunswick,3.85908177
2019,Quebec,4.703421568
2019,Ontario,5.818754711
2019,Manitoba,4.01450184
2019,Saskatchewan,2.834508509
2019,Alberta,4.752745859
2019,British Columbia,6.280544283
2019,Canada,5.186278717
2020,Newfoundland and Labrador,1.708155875
2020,Prince Edward Island,5.025346592
2020,Nova Scotia,5.863513579
2020,New Brunswick,2.42522644
2020,Quebec,5.309261562
2020,Ontario,7.851340191
2020,Manitoba,4.202496573
2020,Saskatchewan,4.368734934
2020,Alberta,6.670455667
2020,British Columbia,10.06549138
2020,Canada,6.957914191
2021,Newfoundland and Labrador,2.276797911
2021,Prince Edward Island,11.71877409
2021,Nova Scotia,7.000644059
2021,New Brunswick,4.678794439
2021,Quebec,5.669608797
2021,Ontario,11.06283529
2021,Manitoba,5.244539213
2021,Saskatchewan,4.538794274
2021,Alberta,7.649726472
2021,British Columbia,11.70918741
2021,Canada,8.773566768
2022,Newfoundland and Labrador,3.009878044
2022,Prince Edward Island,8.971935785
2022,Nova Scotia,11.01960612
2022,New Brunswick,5.929088106
2022,Quebec,5.062161381
2022,Ontario,12.65103494
2022,Manitoba,3.891301103
2022,Saskatchewan,6.61902103
2022,Alberta,7.005267917
2022,British Columbia,10.06294662
2022,Canada,9.183581646
